,n,noise_lvl,data_type,model,TRE,TRE_STD,TESTE,TESTE_STD,E_DIFF,model_param
0,5,0.0,circles,logistic,0.375,0.0,0.0,0.0,0.375,0.001
1,5,0.0,circles,logistic,0.375,0.0,0.0,0.0,0.375,0.01
2,5,0.0,circles,logistic,0.375,0.0,0.0,0.0,0.375,0.1
3,5,0.0,circles,logistic,0.375,0.0,0.0,0.0,0.375,1.0
4,5,0.0,circles,logistic,0.375,0.22360679774997896,0.0,0.0,0.375,10.0
5,5,0.0,circles,logistic,0.375,0.22360679774997896,0.0,0.0,0.375,100.0
6,5,0.0,circles,logistic,0.375,0.22360679774997896,0.0,0.0,0.375,1000.0
7,5,0.0,circles,svm,0.375,0.0,0.0,0.0,0.375,0.001
8,5,0.0,circles,svm,0.375,0.0,0.0,0.0,0.375,0.005
9,5,0.0,circles,svm,0.375,0.0,0.0,0.0,0.375,0.01
10,5,0.0,circles,svm,0.375,0.0,0.0,0.0,0.375,0.05
11,5,0.0,circles,svm,0.375,0.0,0.0,0.0,0.375,0.1
12,5,0.0,circles,svm,0.375,0.0,0.0,0.0,0.375,0.5
13,5,0.0,circles,svm,0.45,0.1224744871391589,0.0,0.0,0.45,1.0
14,5,0.0,circles,svm,0.475,0.1,0.0,0.0,0.475,5.0
15,5,0.0,circles,svm,0.475,0.1,0.0,0.0,0.475,10.0
16,5,0.0,circles,svm,0.5,0.0,0.0,0.0,0.5,50.0
17,5,0.0,moons,logistic,0.35,0.1,0.2,0.48989794855663565,0.14999999999999997,0.001
18,5,0.0,moons,logistic,0.325,0.1224744871391589,0.2,0.48989794855663565,0.125,0.01
19,5,0.0,moons,logistic,0.325,0.1224744871391589,0.2,0.48989794855663565,0.125,0.1
20,5,0.0,moons,logistic,0.325,0.1224744871391589,0.1,0.4,0.225,1.0
21,5,0.0,moons,logistic,0.425,0.1224744871391589,0.1,0.4,0.32499999999999996,10.0
22,5,0.0,moons,logistic,0.45,0.1224744871391589,0.1,0.4,0.35,100.0
23,5,0.0,moons,logistic,0.45,0.1224744871391589,0.1,0.4,0.35,1000.0
24,5,0.0,moons,svm,0.35,0.1,0.2,0.48989794855663565,0.14999999999999997,0.001
25,5,0.0,moons,svm,0.35,0.1,0.2,0.48989794855663565,0.14999999999999997,0.005
26,5,0.0,moons,svm,0.35,0.1,0.2,0.48989794855663565,0.14999999999999997,0.01
27,5,0.0,moons,svm,0.35,0.1,0.2,0.48989794855663565,0.14999999999999997,0.05
28,5,0.0,moons,svm,0.35,0.1,0.2,0.48989794855663565,0.14999999999999997,0.1
29,5,0.0,moons,svm,0.4,0.1,0.1,0.4,0.30000000000000004,0.5
