MSE,MAE,R2
9.534919199546911,2.5315654755443253,-7.940096871883462e-05
9.065661756304227,2.4662771696009713,0.049139128618879147
8.512675830951252,2.3704541225581433,0.10713960260269795
6.211225935494625,1.8891990999249937,0.34852944394683394
7.849773077190156,2.272731586029119,0.17666881150395586
9.482293425361137,2.5175086095769252,0.005440305241872334
7.81035487993262,2.2671869649139498,0.18080322798673587
6.319296608050672,1.9625135427952334,0.3371943449061129
3.019525079369854,1.3710232430513927,0.6832941350221695
2.8533227911151817,1.3309679636347806,0.7007264258889093
8.187559016940886,2.3062825149293245,0.1412398001812779
5.829403149101802,1.913568569984185,0.3885773033466374
3.1571962393270825,1.3984276944572245,0.6688543596764869
2.9223862849547957,1.3487266860352782,0.6934826332460509
3.754875525991368,1.5330074655879526,0.6061661784271866
2.9298764143772096,1.3430548183957143,0.6926970236368679
2.711491314232968,1.29455764564497,0.7156025601770335
